population,human,human,human,human,monkey W,monkey W,monkey W,monkey W,monkey E,monkey E,monkey E,monkey E
load,1,1,3,3,1,1,2,2,1,1,2,2
delay,short,long,short,long,short,long,short,long,short,long,short,long
delta Theta,18,8,2,-16,-44.42700714,-7.574345345,-56.74963562,13.07190817,-97.78284768,62.41167754,-117.9882984,75.30668538
,2,-20,6,4,-68.71666354,-28.60171924,-38.90580532,126.182185,120.4351133,170.582654,-24.79688002,-95.86173451
,25,8,17,23,2.79074324,-6.986533236,74.09850335,-65.90887191,147.5597418,99.03910733,37.52590836,-93.78994604
,1,20,8,-21,-28.82056652,-27.32666106,154.6127436,-171.0264172,57.93222652,-44.51179197,79.87532729,6.638559905
,-1,-29,-3,-2,44.2054464,82.77904979,86.72264764,10.20785043,67.20493179,123.309971,-72.72122592,14.34148553
,-3,-16,5,35,5.792706639,1.382250548,65.32313058,-48.98452256,-17.55940517,-2.257642097,171.6094049,-96.35692649
,6,-12,9,23,-21.26189148,1.184018213,-160.1410145,-144.2578927,118.9805307,21.00375798,-1.483232504,-166.5932246
,22,12,-46,6,58.44251385,33.18680147,-14.5908637,-104.5495717,-71.93565257,-107.3918388,-130.9847032,-59.52557627
,31,20,52,-3,14.69069084,-44.24239943,13.138175,-5.906357303,-11.61231904,8.392943877,135.8292008,5.76576271
,-5,-38,14,-17,15.69270745,-34.08194611,72.06306877,170.2995743,30.99221303,29.90965769,156.9665241,22.54989354
,0,15,30,4,37.42416818,-47.40127053,-139.8784387,14.12503345,-63.14801807,66.7178969,97.26015595,-25.48761138
,-26,45,14,-20,-11.26775936,107.4507088,-23.15054316,-82.00966892,-56.17976448,-67.05552527,-109.8059431,159.2016227
,6,3,27,-4,-43.2952263,1.325428426,-17.38549002,-37.03994278,155.0419431,-131.7652552,13.25126685,155.0457529
,22,-13,24,-113,101.7402362,-1.118040462,-26.12595843,23.58776384,-29.87734453,51.6794045,97.40425196,92.10269114
,-10,-4,-14,20,29.08149906,-60.58236986,11.85162426,-104.0277181,108.3515968,-11.21483623,127.5028101,93.09405401
,-3,47,3,-10,75.79133932,54.20460346,15.90255871,141.0351422,59.80051875,62.20225184,-80.57177124,55.97763672
,15,7,-4,-21,36.8323772,-31.12529565,-69.05416001,6.428089066,-4.409510631,129.1526508,39.57498484,105.615258
,1,25,41,-57,2.249818615,-5.771691211,-52.38655587,-29.26407907,30.68895718,-27.61517596,-23.0612411,123.7952922
,-7,28,31,-22,18.87806023,-59.26281346,-82.97721826,-42.45310392,-31.5834925,-101.9730635,104.8138415,-108.2423055
,-5,38,-8,-13,-4.926263616,-28.39805911,-24.20772941,-42.69812045,23.76759262,-29.90794855,-147.536051,38.35196981
,-26,12,21,19,-13.27595819,-34.26446971,24.56100176,-22.82928132,135.0720211,-93.93202548,178.0830723,74.46373579
,-42,-20,-5,47,41.66179458,40.956943,-12.97737936,176.8370068,-53.60264314,132.4604121,-116.9898672,-51.11726341
,-5,-15,15,10,-55.62962526,-110.5107995,-93.9034198,-98.2908266,46.13321123,-16.37419771,-93.60042601,49.29371474
,-7,-29,10,29,17.67192901,9.000084599,16.48146539,-15.38246792,-29.06525717,-33.00248391,-96.89256061,-16.29095642
,7,18,13,-12,-40.48268585,-11.15533994,-148.7399171,-176.6140265,23.61572885,35.1238509,24.6277813,-144.8280498
,36,2,49,11,-28.46865207,82.17389652,1.313417474,4.603872659,-55.69128114,120.4318661,40.78815966,-141.8511142
,4,16,6,18,-57.12891311,64.95124132,5.002650156,10.94856638,129.1097682,-56.04255773,75.71522923,-11.47286871
,4,2,8,-2,-72.33793149,27.7071777,-57.46887524,50.44287804,-55.32321457,50.02198885,-89.60442098,-137.3113978
,-15,2,19,-26,-65.4585656,104.8527636,-102.9081692,-141.192285,91.86184971,89.12619651,-148.029052,53.85343877
,5,-4,-32,-36,29.71515403,38.81328185,13.56655247,55.45946612,166.5639272,135.5660176,-32.68640751,-18.37722119
,-2,1,11,-4,4.324229151,3.130255131,-64.90414773,-53.99709625,13.38944979,-50.87716546,-10.06963851,-19.32665212
,21,2,7,16,4.984427135,-7.009223869,7.238849353,13.37309364,30.2461021,-13.16706085,-135.6757759,125.7917184
,-6,26,19,4,2.163942957,-119.1637951,15.16895029,10.64953609,-84.54980931,-10.70028995,53.36257907,29.38203452
,4,-19,-15,-10,-21.27786299,11.80959505,48.6655486,-20.63878291,119.797077,89.68135953,81.70069788,74.20933307
,-16,-6,-20,5,18.36393624,-20.63465495,8.463763932,105.2622058,65.58069125,39.23140771,158.3980641,-79.29359615
,12,-21,29,14,31.40870739,-75.34084416,-35.68736263,48.28687935,76.50323984,-21.93440412,-121.2818634,-170.1645016
,9,-20,-18,-12,14.63274705,43.31569459,-30.64189348,-75.24226158,132.8529691,-96.64348435,-135.6590957,-30.76692084
,11,-56,142,-95,1.900116653,29.432327,-98.81472032,87.19851831,-169.0113586,-149.0537314,-43.38736996,109.2573249
,34,16,123,-42,-51.45783904,-1.075996846,-135.2961501,98.37699459,-56.16092868,143.6519676,-34.8834079,-67.81084471
,8,28,-74,-7,97.78878183,-23.46908274,-15.86244605,39.41193694,33.33175931,-85.56313301,13.42761351,-134.4653013
,14,15,-19,50,-40.2234992,46.61117355,45.53219142,-27.02703791,15.83297881,163.522525,94.40297875,-171.7904023
,-5,-10,0,-42,55.02123697,54.74290981,56.41559363,-2.407069815,-62.18105561,22.00053879,-80.3431989,137.2325663
,-22,-6,20,-8,52.53626284,-25.40763265,29.59192133,85.49369324,-11.57045525,78.3793693,67.12551062,150.2291262
