dPrimeAndGaussianWidth,single_ssnu,single_sg,simultaneous
52153.0133224219,52164.8999812303,52247.581411652,52770.1636823032
52153.0133801403,52162.284758725,52247.5131756215,52780.402909139
52153.0133185571,52180.0946546262,52247.599182383,52768.8069315915
52153.0133275778,52166.1872523498,52247.6125503443,52766.81105343
52153.013368271,52166.6963717821,52247.5381259227,52769.6154629519
52153.0133372462,52165.2961520391,52247.5903550622,52775.0977080586
52153.0133186861,52166.3218170195,52247.5758864245,52774.6609137592
52153.0133824261,52160.4395348009,52247.5467763521,52779.692802494
52153.0133329508,52160.8853113813,52247.6164908982,52776.058473914
52153.0133292233,52163.3713131607,52247.5803912751,52770.6734086881
