dPrimeAndGaussianWidth,single_ssnu,single_sg,simultaneous
48588.258611301,47557.1525591252,48111.9279604793,47782.7984259989
48588.2585915033,47562.5510403681,48111.9273969322,47779.3191283463
48588.2586227733,47564.5058450828,48111.931808829,47775.4079117179
48588.2586074183,47562.7914504637,48111.9316276194,47798.2273245003
48588.2586048892,47560.4828463285,48111.9394332879,47783.9828388128
48588.2585916694,47561.7007501454,48111.9302440621,47789.4374053858
48588.2586012726,47557.4025043713,48111.9133974901,47783.9526508188
48588.2585932643,47560.2574667556,48111.9283596438,47780.9169722423
48588.2585899686,47559.9633197493,48111.923930975,47784.6875624841
48588.2585903811,47561.8225373443,48111.9287227642,47783.5637468651
