dPrimeAndGaussianWidth,single_ssnu,single_sg,simultaneous
199396.709858723,196801.054746246,198005.133064371,198069.776761783
199396.708667829,196819.309152731,198005.17409854,198066.269538706
199396.708951969,196818.45664864,198005.013817043,198046.345660672
199396.70873322,196813.440848338,198005.294201566,198059.993733847
199396.720982614,196791.573482036,198006.597146954,198076.987118757
199396.70866518,196797.052949604,198005.196769891,198073.174561848
199396.708668817,196808.263889353,198005.171554588,198058.217898112
199396.708689089,196810.53912143,198005.131059603,198063.470042946
199396.708976977,196803.460680216,198004.967502196,198044.523362393
199396.709425732,196799.854189111,198004.988612942,197965.806188295
