dPrimeAndGaussianWidth,single_ssnu,single_sg,simultaneous
120474.808012492,119366.957224056,119871.175152043,120184.901069207
120474.808083247,119361.265318877,119871.227563327,120189.128735821
120474.808071719,119379.921760317,119871.117318111,120182.231120404
120474.80827366,119361.597821911,119871.264581627,120181.241371281
120474.808044837,119356.564616587,119871.214230424,120180.654656186
120474.808006007,119367.316907168,119871.128685215,120188.356664447
120474.808065064,119363.479661992,119871.202203762,120161.284021257
120474.809658796,119362.980155527,119870.682126592,120210.265493195
120474.808040104,119359.720459351,119871.072407008,120170.261999817
120474.808026027,119364.875888293,119871.094728333,120217.971281609
