dPrimeAndGaussianWidth,single_ssnu,single_sg,simultaneous
120493.000528177,119949.117725967,120453.335653954,121367.414588713
120493.000598931,119943.425820787,120453.388065238,121371.642255327
120493.000587403,119962.082262228,120453.277820022,121364.74463991
120493.000789344,119943.758323821,120453.425083537,121363.754890787
120493.000560522,119938.725118498,120453.374732334,121363.168175692
120493.000521692,119949.477409078,120453.289187126,121370.870183953
120493.000580748,119945.640163903,120453.362705672,121343.797540763
120493.002174481,119945.140657437,120452.842628502,121392.779012701
120493.000555789,119941.880961262,120453.232908919,121352.775519323
120493.000541712,119947.036390203,120453.255230243,121400.484801115
