dPrimeAndGaussianWidth,single_ssnu,single_sg,simultaneous
60235.404006246,59619.478612028,59871.5875760216,59962.4505346034
60235.4040416233,59616.6326594384,59871.6137816636,59964.5643679105
60235.4040358593,59625.9608801584,59871.5586590555,59961.1155602022
60235.4041368298,59616.7989109554,59871.6322908134,59960.6206856403
60235.4040224187,59614.2823082936,59871.6071152119,59960.3273280931
60235.4040030037,59619.6584535838,59871.5643426076,59964.1783322234
60235.4040325318,59617.7398309962,59871.6011018808,59950.6420106286
60235.4048293982,59617.4900777634,59871.3410632958,59975.1327465974
60235.4040200521,59615.8602296755,59871.5362035041,59955.1309999085
60235.4040130137,59618.4379441463,59871.5473641664,59978.9856408045
