dPrimeAndGaussianWidth,single_ssnu,single_sg,simultaneous
73493.4030883339,70980.2733577455,71824.0215179608,70951.0401333309
73493.4025001812,70985.2160436852,71893.5939717078,70960.6184983999
73493.4024722003,70973.1314782855,71823.5147625009,70962.3924054661
73493.4022066215,70989.8765866284,71893.3333795622,70954.7715898071
73493.4025288477,70976.8890027435,71823.3155404854,70950.7998934851
73493.4048578485,70978.1469263424,71822.5063029563,70966.5306887699
73493.4043926715,70987.1069085656,71823.4680759565,70962.0673690842
73493.4021988315,70980.9872905082,71823.6295857434,70959.8581003924
73493.402682223,70975.738341731,71893.5374365394,70962.1483776226
73493.4060884857,70969.4204470656,71824.3518953926,70958.7211975172
