dirname,cues,chosen,choices_1,choices_2,choices_3,choices_4
210422_135417_Pollux,50,NaN,2,41,50,54
210422_135417_Pollux,42,NaN,6,7,28,42
210422_135417_Pollux,32,NaN,16,28,32,46
210422_135417_Pollux,33,4,15,18,33,37
210422_135417_Pollux,12,NaN,12,33,40,43
210422_135417_Pollux,41,1,36,41,45,55
210422_135417_Pollux,29,4,18,29,30,35
210422_135417_Pollux,16,1,16,19,36,54
210422_135417_Pollux,28,3,1,28,37,59
210422_135417_Pollux,11,4,1,11,31,36
210422_135417_Pollux,40,NaN,21,40,49,59
210422_135417_Pollux,48,NaN,8,45,48,58
210422_135417_Pollux,2,1,2,23,28,55
210422_135417_Pollux,45,NaN,13,34,39,45
210422_135417_Pollux,52,NaN,23,48,52,56
210422_135417_Pollux,53,4,11,14,21,53
210422_135417_Pollux,55,4,14,21,46,55
210422_135417_Pollux,6,NaN,2,6,21,33
210422_135417_Pollux,1,1,1,4,11,53
210422_135417_Pollux,49,4,33,37,42,49
210422_135417_Pollux,38,NaN,9,25,28,38
210422_135417_Pollux,8,1,5,8,36,38
210422_135417_Pollux,58,NaN,21,29,38,58
210422_135417_Pollux,15,NaN,2,15,27,28
210422_135417_Pollux,31,NaN,31,40,47,61
210422_135417_Pollux,13,NaN,13,22,24,58
210422_135417_Pollux,43,4,17,28,40,43
210422_135417_Pollux,21,2,17,21,53,63
210422_135417_Pollux,30,NaN,17,30,34,60
210422_135417_Pollux,44,NaN,11,33,38,44
210422_135417_Pollux,17,NaN,17,47,56,59
210422_135417_Pollux,25,NaN,5,25,39,56
210422_135417_Pollux,14,3,14,17,20,60
210422_135417_Pollux,23,NaN,1,22,23,52
210422_135417_Pollux,37,NaN,3,37,39,48
210422_135417_Pollux,54,NaN,17,29,54,60
210422_135417_Pollux,27,4,2,27,36,43
210422_135417_Pollux,20,NaN,4,7,20,56
210422_135417_Pollux,61,NaN,4,7,57,61
210422_135417_Pollux,62,NaN,3,6,41,62
210422_135417_Pollux,10,3,10,12,37,44
210422_135417_Pollux,34,3,17,34,39,57
210422_135417_Pollux,18,1,14,15,18,24
210422_135417_Pollux,64,2,1,30,63,64
210422_135417_Pollux,60,4,20,45,57,60
210422_135417_Pollux,35,NaN,5,17,35,55
