dirname,cues,chosen,choices_1,choices_2,choices_3,choices_4
210428_125912_Buster,42,NaN,32,35,42,49
210428_125912_Buster,40,NaN,24,40,42,54
210428_125912_Buster,53,NaN,10,18,52,53
210428_125912_Buster,24,58,14,24,51,58
210428_125912_Buster,41,NaN,1,17,34,41
210428_125912_Buster,17,NaN,4,7,17,20
210428_125912_Buster,22,22,13,22,37,61
210428_125912_Buster,18,NaN,14,18,46,57
210428_125912_Buster,54,NaN,11,15,20,54
210428_125912_Buster,52,52,8,20,52,53
210428_125912_Buster,36,38,1,36,38,64
210428_125912_Buster,4,NaN,4,11,32,37
210428_125912_Buster,39,48,12,22,39,48
210428_125912_Buster,47,47,23,31,42,47
210428_125912_Buster,14,14,14,44,56,59
210428_125912_Buster,27,30,13,27,30,56
210428_125912_Buster,34,34,8,23,34,61
210428_125912_Buster,33,33,1,21,33,39
210428_125912_Buster,64,NaN,1,7,46,64
210428_125912_Buster,37,NaN,3,19,37,51
210428_125912_Buster,58,NaN,17,46,57,58
210428_125912_Buster,28,28,28,49,54,59
210428_125912_Buster,21,NaN,5,13,21,43
210428_125912_Buster,48,48,6,19,48,64
210428_125912_Buster,1,1,1,25,34,48
210428_125912_Buster,56,2,2,39,41,56
210428_125912_Buster,30,NaN,5,20,22,30
210428_125912_Buster,55,55,5,33,34,55
210428_125912_Buster,8,8,8,36,44,51
210428_125912_Buster,16,8,8,16,27,37
210428_125912_Buster,15,15,2,15,43,58
210428_125912_Buster,61,61,2,12,18,61
210428_125912_Buster,20,NaN,20,29,35,47
210428_125912_Buster,62,NaN,23,29,37,62
210428_125912_Buster,35,35,23,35,41,49
210428_125912_Buster,25,NaN,25,28,47,54
210428_125912_Buster,23,23,13,20,23,42
210428_125912_Buster,51,20,1,20,38,51
210428_125912_Buster,50,NaN,27,50,51,63
210428_125912_Buster,7,NaN,7,38,61,62
210428_125912_Buster,3,18,1,3,18,58
210428_125912_Buster,12,NaN,12,14,32,54
210428_125912_Buster,32,NaN,23,29,32,55
210428_125912_Buster,49,49,18,29,49,56
210428_125912_Buster,60,60,13,45,48,60
210428_125912_Buster,10,9,8,9,10,22
210428_125912_Buster,45,NaN,33,39,45,61
210428_125912_Buster,2,2,2,28,45,48
210428_125912_Buster,57,NaN,37,44,54,57
210428_125912_Buster,59,59,12,18,49,59
210428_125912_Buster,31,31,2,15,31,61
210428_125912_Buster,46,NaN,21,22,33,46
210428_125912_Buster,44,44,2,10,44,60
210428_125912_Buster,13,14,8,13,14,52
210428_125912_Buster,5,5,5,6,43,48
210428_125912_Buster,26,NaN,3,6,26,28
210428_125912_Buster,19,19,19,33,48,63
210428_125912_Buster,63,63,39,44,46,63
210428_125912_Buster,11,11,11,22,37,58
210428_125912_Buster,43,43,15,34,35,43
210428_125912_Buster,25,25,25,31,44,55
210428_125912_Buster,61,NaN,28,40,54,61
210428_125912_Buster,4,2,2,4,21,27
210428_125912_Buster,14,14,14,15,58,62
210428_125912_Buster,52,NaN,27,52,60,62
210428_125912_Buster,9,56,9,11,42,56
210428_125912_Buster,21,18,17,18,21,54
210428_125912_Buster,51,57,9,26,51,57
210428_125912_Buster,17,17,17,29,43,48
210428_125912_Buster,24,NaN,14,24,31,36
210428_125912_Buster,5,5,5,13,19,42
210428_125912_Buster,6,6,6,9,26,52
210428_125912_Buster,15,11,11,15,39,48
210428_125912_Buster,35,NaN,1,33,35,51
210428_125912_Buster,43,26,20,26,31,43
210428_125912_Buster,32,40,24,32,40,46
210428_125912_Buster,46,NaN,40,46,48,58
210428_125912_Buster,30,30,13,30,40,59
210428_125912_Buster,55,NaN,20,55,57,61
210428_125912_Buster,33,NaN,5,21,33,59
210428_125912_Buster,64,47,14,23,47,64
210428_125912_Buster,31,49,10,31,43,49
210428_125912_Buster,37,37,16,23,37,54
210428_125912_Buster,8,56,8,17,20,56
210428_125912_Buster,16,NaN,16,48,53,54
210428_125912_Buster,48,53,32,40,48,53
210428_125912_Buster,50,50,33,35,46,50
210428_125912_Buster,39,39,15,39,57,58
210428_125912_Buster,19,23,6,17,19,23
210428_125912_Buster,7,NaN,7,23,42,54
210428_125912_Buster,41,NaN,40,41,58,59
210428_125912_Buster,38,38,6,14,26,38
210428_125912_Buster,59,NaN,23,31,57,59
210428_125912_Buster,62,62,6,31,38,62
210428_125912_Buster,58,45,7,45,58,61
210428_125912_Buster,40,40,9,28,40,61
210428_125912_Buster,10,NaN,6,10,52,61
210428_125912_Buster,22,NaN,18,20,22,62
210428_125912_Buster,47,NaN,6,42,47,60
210428_125912_Buster,44,44,1,33,44,50
210428_125912_Buster,53,NaN,17,29,53,62
210428_125912_Buster,34,44,27,34,44,57
210428_125912_Buster,3,3,3,18,32,62
210428_125912_Buster,63,NaN,29,33,53,63
210428_125912_Buster,26,4,4,26,31,37
210428_125912_Buster,57,57,29,46,57,63
210428_125912_Buster,42,53,35,37,42,53
210428_125912_Buster,54,53,29,32,53,54
210428_125912_Buster,28,28,6,12,28,56
210428_125912_Buster,60,NaN,10,42,49,60
210428_125912_Buster,20,11,11,20,49,61
210428_125912_Buster,56,49,49,52,56,58
210428_125912_Buster,29,29,12,29,49,58
210428_125912_Buster,23,31,12,18,23,31
210428_125912_Buster,1,8,1,8,36,52
210428_125912_Buster,49,36,17,36,41,49
210428_125912_Buster,45,44,10,44,45,64
210428_125912_Buster,12,12,12,24,49,60
210428_125912_Buster,13,13,13,24,28,52
210428_125912_Buster,2,2,2,36,42,63
210428_125912_Buster,36,11,11,35,36,55
