dirname,cues,chosen,choices_1,choices_2,choices_3,choices_4
210517_090630_Castor,43,NaN,6,10,15,43
210517_090630_Castor,49,NaN,7,27,49,57
210517_090630_Castor,13,NaN,1,13,16,52
210517_090630_Castor,32,32,32,40,50,51
210517_090630_Castor,6,4,4,6,49,52
210517_090630_Castor,23,60,12,13,23,60
210517_090630_Castor,25,10,10,16,25,58
210517_090630_Castor,42,29,29,41,42,63
210517_090630_Castor,56,6,6,47,56,58
210517_090630_Castor,26,NaN,11,26,39,64
210517_090630_Castor,60,47,47,57,58,60
210517_090630_Castor,59,44,44,58,59,61
210517_090630_Castor,2,26,2,11,12,26
210517_090630_Castor,61,NaN,11,37,58,61
210517_090630_Castor,41,NaN,26,33,41,55
210517_090630_Castor,47,12,12,18,32,47
210517_090630_Castor,9,4,4,9,22,31
210517_090630_Castor,1,NaN,1,5,8,31
210517_090630_Castor,29,NaN,23,29,45,53
210517_090630_Castor,7,NaN,1,7,34,54
210517_090630_Castor,22,22,20,22,30,39
210517_090630_Castor,19,25,19,22,25,34
210517_090630_Castor,3,10,3,10,29,31
210517_090630_Castor,31,9,5,9,30,31
210517_090630_Castor,63,41,36,41,60,63
210517_090630_Castor,17,31,17,31,44,50
210517_090630_Castor,46,45,38,41,45,46
210517_090630_Castor,15,NaN,15,27,31,54
210517_090630_Castor,37,NaN,18,37,45,49
210517_090630_Castor,8,NaN,8,9,14,25
210517_090630_Castor,12,NaN,5,12,33,40
210517_090630_Castor,48,NaN,42,44,45,48
210517_090630_Castor,38,NaN,22,32,35,38
210517_090630_Castor,21,NaN,6,21,45,46
210517_090630_Castor,24,NaN,24,52,53,64
210517_090630_Castor,4,NaN,4,18,32,61
210517_090630_Castor,51,41,19,41,51,60
210517_090630_Castor,30,30,1,14,30,59
210517_090630_Castor,16,36,16,36,48,57
210517_090630_Castor,44,34,6,24,34,44
210517_090630_Castor,5,11,1,5,11,52
210517_090630_Castor,52,52,2,3,6,52
210517_090630_Castor,35,15,8,15,35,53
210517_090630_Castor,62,NaN,4,13,30,62
210517_090630_Castor,36,13,12,13,36,45
210517_090630_Castor,58,8,8,19,53,58
210517_090630_Castor,27,NaN,9,17,27,36
210517_090630_Castor,11,NaN,11,20,42,44
210517_090630_Castor,64,NaN,20,27,61,64
210517_090630_Castor,54,57,37,46,54,57
210517_090630_Castor,20,20,4,18,20,32
210517_090630_Castor,14,14,14,40,44,45
210517_090630_Castor,10,NaN,3,10,38,56
210517_090630_Castor,39,24,1,18,24,39
210517_090630_Castor,50,NaN,26,34,50,57
210517_090630_Castor,57,57,17,44,57,64
210517_090630_Castor,28,39,28,39,44,57
210517_090630_Castor,55,55,7,10,38,55
210517_090630_Castor,33,54,30,33,42,54
210517_090630_Castor,34,NaN,5,34,45,61
210517_090630_Castor,53,53,31,33,53,59
210517_090630_Castor,45,44,28,31,44,45
210517_090630_Castor,40,45,40,45,46,52
210517_090630_Castor,18,20,18,20,29,31
210517_090630_Castor,41,NaN,2,27,41,47
210517_090630_Castor,64,NaN,23,24,54,64
210517_090630_Castor,9,10,1,9,10,41
210517_090630_Castor,42,10,10,26,42,44
210517_090630_Castor,45,41,3,41,42,45
210517_090630_Castor,12,12,4,12,46,62
210517_090630_Castor,39,10,4,10,39,46
210517_090630_Castor,5,16,2,5,16,63
210517_090630_Castor,8,NaN,4,8,9,13
210517_090630_Castor,15,NaN,15,37,52,56
210517_090630_Castor,33,32,24,32,33,39
210517_090630_Castor,2,44,2,30,44,62
210517_090630_Castor,26,26,5,26,37,38
210517_090630_Castor,29,29,28,29,33,47
210517_090630_Castor,43,NaN,22,25,27,43
210517_090630_Castor,10,48,10,48,54,63
210517_090630_Castor,52,NaN,12,41,52,58
210517_090630_Castor,63,NaN,46,49,62,63
210517_090630_Castor,22,NaN,14,21,22,26
210517_090630_Castor,50,50,1,19,46,50
210517_090630_Castor,23,NaN,6,10,13,23
210517_090630_Castor,46,NaN,41,42,46,63
210517_090630_Castor,1,NaN,1,52,62,63
210517_090630_Castor,30,20,7,20,24,30
210517_090630_Castor,61,19,11,12,19,61
210517_090630_Castor,62,NaN,9,14,55,62
210517_090630_Castor,28,NaN,14,28,37,61
210517_090630_Castor,16,16,2,16,27,52
210517_090630_Castor,19,NaN,11,19,57,61
210517_090630_Castor,14,14,14,22,50,62
