dirname,cues,chosen,choices_1,choices_2,choices_3,choices_4
220322_091149_Morty,52,NaN,28,50,52,58
220322_091149_Morty,30,41,20,30,41,59
220322_091149_Morty,4,61,4,59,61,62
220322_091149_Morty,17,32,14,17,23,32
220322_091149_Morty,10,61,10,42,51,61
220322_091149_Morty,47,46,31,46,47,48
220322_091149_Morty,7,NaN,7,12,27,49
220322_091149_Morty,49,10,3,10,21,49
220322_091149_Morty,21,21,6,21,26,54
220322_091149_Morty,31,51,6,31,51,57
220322_091149_Morty,22,39,22,24,34,39
220322_091149_Morty,50,28,2,28,49,50
220322_091149_Morty,44,44,5,14,41,44
220322_091149_Morty,64,64,26,57,59,64
220322_091149_Morty,27,27,16,22,27,63
220322_091149_Morty,48,5,5,30,35,48
220322_091149_Morty,9,9,9,33,35,47
220322_091149_Morty,60,12,12,25,39,60
220322_091149_Morty,29,NaN,6,16,29,34
220322_091149_Morty,25,25,3,9,25,43
220322_091149_Morty,41,4,4,20,34,41
220322_091149_Morty,40,52,11,15,40,52
220322_091149_Morty,8,8,8,20,36,41
220322_091149_Morty,18,21,18,21,52,54
220322_091149_Morty,34,34,11,26,34,44
220322_091149_Morty,46,NaN,23,45,46,62
220322_091149_Morty,1,NaN,1,37,42,55
220322_091149_Morty,57,NaN,5,46,57,64
220322_091149_Morty,43,NaN,9,18,43,55
220322_091149_Morty,14,27,5,14,20,27
220322_091149_Morty,45,43,20,22,43,45
220322_091149_Morty,55,33,5,33,55,64
220322_091149_Morty,59,43,35,43,50,59
220322_091149_Morty,26,37,8,26,27,37
220322_091149_Morty,39,39,2,4,39,51
220322_091149_Morty,23,29,12,23,24,29
220322_091149_Morty,58,44,31,38,44,58
220322_091149_Morty,54,24,22,24,54,60
220322_091149_Morty,56,56,5,13,55,56
220322_091149_Morty,37,8,8,27,37,44
220322_091149_Morty,15,10,10,15,26,40
220322_091149_Morty,38,18,18,24,38,48
220322_091149_Morty,12,12,12,25,46,51
220322_091149_Morty,13,13,5,13,19,28
220322_091149_Morty,11,13,11,13,41,49
220322_091149_Morty,61,37,30,37,38,61
220322_091149_Morty,24,NaN,3,24,43,63
220322_091149_Morty,53,9,4,9,26,53
220322_091149_Morty,33,37,18,33,37,55
220322_091149_Morty,63,5,5,49,53,63
220322_091149_Morty,32,3,3,16,17,32
220322_091149_Morty,28,10,10,28,34,43
220322_091149_Morty,5,62,5,39,48,62
220322_091149_Morty,16,35,16,35,39,57
220322_091149_Morty,6,NaN,6,7,42,53
220322_091149_Morty,35,20,20,35,47,50
220322_091149_Morty,36,61,18,36,61,62
220322_091149_Morty,51,38,1,12,38,51
220322_091149_Morty,62,19,5,19,40,62
220322_091149_Morty,2,35,2,12,23,35
220322_091149_Morty,3,3,3,13,29,47
220322_091149_Morty,20,4,4,6,20,55
220322_091149_Morty,19,7,7,19,27,34
220322_091149_Morty,42,42,17,29,42,48
220322_091149_Morty,23,NaN,17,23,31,51
220322_091149_Morty,49,58,28,49,58,61
220322_091149_Morty,34,57,34,42,57,61
220322_091149_Morty,52,52,4,33,52,60
220322_091149_Morty,17,17,17,33,49,56
220322_091149_Morty,37,16,16,17,37,49
220322_091149_Morty,55,24,17,24,55,60
220322_091149_Morty,26,30,8,26,30,54
220322_091149_Morty,48,46,17,45,46,48
220322_091149_Morty,24,24,10,18,24,50
220322_091149_Morty,47,NaN,9,28,40,47
220322_091149_Morty,2,2,2,49,50,64
220322_091149_Morty,40,40,2,6,40,58
220322_091149_Morty,1,47,1,4,41,47
220322_091149_Morty,63,37,28,34,37,63
220322_091149_Morty,20,27,10,20,27,59
220322_091149_Morty,35,41,35,41,42,53
220322_091149_Morty,32,NaN,2,32,36,40
220322_091149_Morty,60,3,3,9,57,60
220322_091149_Morty,46,46,8,18,46,57
220322_091149_Morty,10,10,10,33,43,48
220322_091149_Morty,8,8,8,17,41,60
220322_091149_Morty,22,22,6,22,49,56
220322_091149_Morty,3,20,3,20,23,51
220322_091149_Morty,18,NaN,18,39,41,61
220322_091149_Morty,38,38,37,38,45,49
220322_091149_Morty,9,9,3,9,11,59
220322_091149_Morty,14,14,14,20,22,32
220322_091149_Morty,4,4,4,11,33,45
220322_091149_Morty,19,19,1,13,19,57
220322_091149_Morty,31,33,3,29,31,33
