dirname,cues,chosen,choices_1,choices_2,choices_3,choices_4
combined,28,28,28,39,48,52
combined,44,38,1,38,44,52
combined,47,47,12,22,47,60
combined,48,48,13,44,48,58
combined,55,55,13,26,35,55
combined,42,42,7,42,52,62
combined,3,3,3,39,45,50
combined,60,62,13,51,60,62
combined,62,62,26,40,55,62
combined,54,54,23,39,49,54
combined,11,11,9,11,59,62
combined,15,15,6,8,10,15
combined,10,61,5,10,50,61
combined,40,40,24,40,46,49
combined,13,13,13,21,23,61
combined,15,15,15,45,46,49
combined,50,34,8,34,37,50
combined,48,48,13,21,41,48
combined,57,57,4,10,27,57
combined,19,23,19,21,23,41
combined,64,64,15,25,36,64
combined,41,41,1,15,31,41
combined,19,19,3,9,19,20
combined,31,33,10,31,33,54
combined,5,59,5,40,50,59
combined,56,3,3,13,28,56
combined,6,6,6,29,47,60
combined,18,18,7,11,14,18
combined,49,49,31,49,57,58
combined,34,34,6,12,34,49
combined,12,12,10,12,31,57
combined,27,7,5,7,27,61
combined,11,11,11,37,41,42
combined,26,26,21,26,35,44
combined,33,33,3,33,44,62
combined,7,62,7,32,43,62
combined,48,48,26,32,48,60
combined,25,49,19,25,46,49
combined,64,9,9,22,58,64
combined,22,22,22,35,37,43
combined,7,7,7,12,20,33
combined,10,10,10,32,49,52
combined,11,11,1,11,33,57
combined,7,7,7,24,29,52
combined,18,18,6,15,18,32
combined,63,63,25,42,53,63
combined,21,21,13,21,37,49
combined,39,39,16,39,54,60
combined,24,35,6,14,24,35
combined,60,60,37,45,46,60
combined,64,64,32,45,47,64
combined,41,43,35,41,43,64
combined,26,26,26,28,30,43
combined,9,9,9,17,18,37
combined,21,24,12,21,24,53
combined,50,55,30,39,50,55
combined,46,46,13,25,26,46
combined,56,56,23,38,47,56
combined,45,26,26,27,45,48
combined,14,17,14,17,27,28
combined,55,55,37,55,57,60
combined,28,28,7,18,28,54
combined,48,48,6,39,48,60
combined,32,32,22,32,50,55
combined,63,36,36,39,55,63
combined,14,14,14,27,52,55
combined,21,21,21,26,29,40
combined,46,46,14,46,52,64
combined,6,6,1,4,6,30
combined,43,43,8,29,36,43
combined,37,37,10,26,34,37
combined,22,22,13,22,26,34
combined,60,60,10,33,58,60
combined,45,45,21,24,45,63
combined,41,41,2,10,24,41
combined,47,41,8,9,41,47
combined,1,1,1,25,47,62
combined,50,59,13,21,50,59
combined,63,63,12,48,49,63
combined,55,55,9,29,44,55
combined,16,16,4,9,16,26
combined,17,17,7,17,21,57
combined,44,48,16,44,46,48
combined,31,31,3,31,38,64
combined,28,28,18,28,54,62
combined,34,34,6,34,41,64
combined,47,47,38,47,55,63
combined,63,63,21,35,38,63
combined,17,17,17,29,44,51
combined,31,32,2,26,31,32
combined,15,15,15,27,48,55
combined,4,4,2,4,20,47
combined,13,13,13,28,33,48
combined,20,20,7,20,61,63
combined,49,49,11,37,49,64
combined,13,13,13,23,30,50
combined,53,28,26,27,28,53
combined,55,55,3,28,45,55
combined,41,41,8,41,49,58
combined,7,16,7,16,21,35
combined,38,38,6,7,27,38
combined,12,12,12,14,37,49
combined,53,52,5,27,52,53
combined,32,32,26,31,32,45
combined,10,10,10,20,36,55
combined,50,50,33,45,50,61
combined,54,19,3,19,36,54
combined,56,14,14,24,56,63
combined,27,60,15,20,27,60
combined,41,51,21,41,51,58
combined,35,35,4,18,35,64
combined,32,32,23,32,63,64
combined,10,10,10,22,35,51
combined,2,2,2,20,21,39
combined,62,62,50,56,58,62
combined,7,7,1,7,37,42
combined,32,32,12,32,49,55
combined,52,52,9,16,52,60
combined,56,56,19,32,56,57
combined,45,45,38,45,56,57
combined,16,16,16,39,46,57
combined,30,27,27,30,34,60
combined,25,25,2,25,53,60
combined,26,26,7,26,36,41
combined,49,42,42,46,49,57
combined,33,24,24,29,32,33
combined,9,39,8,9,39,60
combined,49,49,21,26,39,49
combined,14,14,14,38,46,53
combined,53,57,27,34,53,57
