Color,pink,orange,yllow,green,blue,purple,Frequency
1,58,0,0,0,0,0,58
2,57,0,0,0,0,1,58
3,56,0,0,0,0,3,59
4,57,0,0,0,0,2,59
5,59,0,0,0,0,1,60
6,57,0,0,0,0,1,58
7,58,0,0,0,0,1,59
8,59,0,0,0,0,0,59
9,56,0,0,0,0,1,57
10,53,1,0,0,0,1,55
11,51,1,0,0,0,3,55
12,50,5,0,0,0,0,55
13,48,8,0,0,0,1,57
14,41,11,0,0,0,0,52
15,35,15,0,0,0,0,50
16,30,21,0,0,0,1,52
17,34,16,1,0,0,0,51
18,26,23,0,0,0,0,49
19,19,31,1,0,0,0,51
20,19,38,1,0,0,0,58
21,9,46,1,0,0,0,56
22,4,52,0,0,0,0,56
23,4,52,0,0,0,0,56
24,3,54,0,0,0,0,57
25,3,53,1,0,0,0,57
26,1,59,0,0,0,0,60
27,2,56,0,0,0,0,58
28,1,58,0,0,0,0,59
29,0,56,0,0,0,0,56
30,0,59,0,0,0,0,59
31,0,60,0,0,0,0,60
32,0,59,0,0,0,0,59
33,0,60,0,0,0,0,60
34,0,56,2,0,0,0,58
35,0,60,0,0,0,0,60
36,0,57,2,0,0,0,59
37,0,59,1,0,0,0,60
38,0,58,1,0,0,0,59
39,0,56,2,0,0,0,58
40,0,55,4,0,0,0,59
41,0,52,8,0,0,0,60
42,0,44,15,0,0,0,59
43,0,40,20,0,0,0,60
44,0,24,33,0,0,0,57
45,0,18,42,0,0,0,60
46,0,15,40,1,0,0,56
47,0,8,49,0,0,0,57
48,0,8,46,3,0,0,57
49,0,5,45,4,1,0,55
50,0,1,42,11,0,0,54
51,0,3,42,10,0,0,55
52,0,4,38,13,0,0,55
53,0,0,29,25,1,0,55
54,0,1,29,26,0,0,56
55,0,0,21,36,0,0,57
56,0,0,21,39,0,0,60
57,0,0,10,47,1,0,58
58,0,1,9,49,0,0,59
59,0,1,11,48,0,0,60
60,0,1,5,53,0,0,59
61,0,0,3,56,0,0,59
62,0,0,9,50,0,0,59
63,0,0,4,56,0,0,60
64,0,0,1,59,0,0,60
65,0,0,1,59,0,0,60
66,0,0,3,57,0,0,60
67,0,0,1,59,0,0,60
68,0,0,1,59,0,0,60
69,0,0,1,59,0,0,60
70,0,0,1,59,0,0,60
71,0,0,1,58,1,0,60
72,0,0,2,58,0,0,60
73,0,0,0,60,0,0,60
74,0,0,1,59,0,0,60
75,0,0,0,59,1,0,60
76,0,0,2,58,0,0,60
77,0,0,0,60,0,0,60
78,0,0,0,60,0,0,60
79,0,0,2,57,1,0,60
80,0,0,1,56,3,0,60
81,0,0,1,59,0,0,60
82,0,0,2,58,0,0,60
83,0,0,0,60,0,0,60
